会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
きもと,7908,化学,スタンダード（内国株式）,2025-03-31,埼玉県,11319700480.0,0.58433247,11294000000.0,1341000000.0,0.17732,989000000.0,0.08963,0.052360002,0.8172350950273366,,4212000000.0,2572000000.0,16901000000.0,,12885000000.0,1185000000.0,13518500000.0,1.194245379891889
ＴＯＰＰＡＮホールディングス,7911,その他製品,プライム（内国株式）,2025-03-31,東京都,1077091631104.0,0.8491623,1717960000000.0,84093000000.0,0.03408,89348000000.0,0.05185,0.06712,0.51431898777259,14.06437,1096481000000.0,822884000000.0,1406905000000.0,467596000000.0,768989000000.0,310633000000.0,527867100000.0,0.4900856015926384
大日本印刷,7912,その他製品,プライム（内国株式）,2025-03-31,東京都,1169174429696.0,1.0269765,1457609000000.0,93612000000.0,0.06276,110682000000.0,0.06321,0.07754,0.592253360294248,13.25912,709062000000.0,435780000000.0,824692000000.0,175759000000.0,254995000000.0,393125000000.0,390817500000.0,0.3342679159529835
共同印刷,7914,その他製品,プライム（内国株式）,2025-03-31,東京都,42404151296.0,0.6673583,99977000000.0,2336000000.0,0.0191,3310000000.0,0.040409997,0.06309,0.4984782195168347,,63256000000.0,26262000000.0,47780000000.0,13015000000.0,12254000000.0,17501000000.0,-3225300000.0,-0.0760609492567357
ＮＩＳＳＨＡ,7915,その他製品,プライム（内国株式）,2024-12-31,京都府,61786030080.0,0.56773496,195598000000.0,5818000000.0,0.025799999,3862000000.0,-0.00193,-0.00059999997,0.4552476274025042,8.886619,135260000000.0,63982000000.0,128627000000.0,72783000000.0,50970000000.0,8132000000.0,-940600000.0,-0.0152235060058417
光村印刷,7916,その他製品,スタンダード（内国株式）,2025-03-31,東京都,4809327616.0,0.27349034,14756503000.0,-158794000.0,-0.029849999,70563000.0,0.011030001,0.0095999995,0.6340731435456191,,9944576000.0,5381532000.0,10377351000.0,3552541000.0,4145913000.0,5158886000.0,4043995200.0,0.840864986312465
ＺＡＣＲＯＳ,7917,化学,プライム（内国株式）,2025-03-31,東京都,76992872448.0,0.8554953,150735000000.0,10117000000.0,0.08805,6530000000.0,0.04325,0.07598,0.597689798994322,2.8031962,53234000000.0,42566000000.0,86783000000.0,4669000000.0,14986000000.0,2667000000.0,35415900000.0,0.4599893324400833
ヴィア・ホールディングス,7918,小売業,スタンダード（内国株式）,2025-03-31,東京都,5201328128.0,4.8294854,17373000000.0,199000000.0,0.00391,-19000000.0,-0.0010899999,-0.0175,0.1817753338570306,,5208000000.0,2127000000.0,1936000000.0,2582000000.0,927000000.0,371000000.0,-3012300000.0,-0.5791405436976884
野崎印刷紙業,7919,その他製品,スタンダード（内国株式）,2025-03-31,京都府,3076113152.0,0.7012803,14570564000.0,690033000.0,0.01875,522142000.0,0.03039,0.10032,0.413090519387453,,6043735000.0,4533340000.0,4852639000.0,2397338000.0,1433833000.0,263666000.0,-1006529800.0,-0.3272083146049369
ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,7921,その他製品,プライム（内国株式）,2025-05-31,東京都,53880602624.0,1.7700497,29678785000.0,4048828000.0,0.18846,4075516000.0,0.13565,0.1399,0.7572823301779016,,9331158000.0,7567975000.0,26111519000.0,208890000.0,19145987000.0,3206222000.0,19024716400.0,0.3530902676193498
三光産業,7922,その他製品,スタンダード（内国株式）,2025-03-31,,3126399232.0,0.36553237,9666593000.0,82935000.0,-0.01722,86096000.0,-0.01298,-0.014630001,0.7407992845604443,,3070529000.0,2704658000.0,6603462000.0,1033512000.0,2280805000.0,1262473000.0,4416664100.0,1.4126999695987643
トーイン,7923,その他製品,スタンダード（内国株式）,2025-03-31,東京都,4399057920.0,0.40082532,14582228000.0,891460000.0,0.07324,597660000.0,0.041490003,0.05756,0.5338223670134548,,9482469000.0,5726720000.0,8733320000.0,3928618000.0,2683844000.0,3159502000.0,1462502400.0,0.3324580913906221
前澤化成工業,7925,化学,プライム（内国株式）,2025-03-31,東京都,30791434240.0,0.72086954,24166000000.0,2165000000.0,0.10086001,1714000000.0,0.0773,0.04607,0.8297829702811567,,8389000000.0,6879000000.0,28409000000.0,330000000.0,12905000000.0,9629000000.0,26760300000.0,0.8690826088651855
ムトー精工,7927,化学,スタンダード（内国株式）,2025-03-31,岐阜県,11467954176.0,0.6503832,27574022000.0,2047511000.0,0.07604,1510598000.0,0.05164,0.08191,0.5922142321688408,,11717345000.0,8073214000.0,19910168000.0,6653314000.0,10367739000.0,303414000.0,8405212800.0,0.7329304487098781
旭化学工業,7928,化学,スタンダード（内国株式）,2024-08-31,愛知県,1804723840.0,0.34115767,8340336000.0,37900000.0,0.00248,93766000.0,0.00562,0.0086900005,0.7957889917504489,,1420173000.0,1231007000.0,3583729000.0,,1947649000.0,219734000.0,2317369800.0,1.2840578423344815
未来工業,7931,化学,プライム（内国株式）,2025-03-31,岐阜県,53718118400.0,1.0102136,45113000000.0,6901000000.0,0.14908,4833000000.0,0.0,0.08934,0.7916572750905347,11.406518,13137000000.0,10512000000.0,42478000000.0,245000000.0,21102000000.0,1774000000.0,30582800000.0,0.5693200154977878
ニッピ,7932,その他製品,スタンダード（内国株式）,2025-03-31,東京都,35775700992.0,0.9037845,49141000000.0,3628000000.0,0.09111,2457000000.0,0.0537,0.06785,0.5676765661517414,,29607000000.0,14692000000.0,27574000000.0,10646000000.0,8933000000.0,4789000000.0,1319300000.0,0.0368769853117627
アシックス,7936,その他製品,プライム（内国株式）,2024-12-31,兵庫県,2662527139840.0,11.018018,678526000000.0,100112000000.0,0.18829,63806000000.0,0.101730004,0.30438,0.4494984527759473,36.76034,284057000000.0,194739000000.0,369143000000.0,117276000000.0,127021000000.0,3513000000.0,87545100000.0,0.0328804535698595
ツツミ,7937,その他製品,スタンダード（内国株式）,2025-03-31,埼玉県,36410212352.0,0.5401228,24835000000.0,2410000000.0,0.07242,1986000000.0,0.06182,0.02335,0.973605985323894,,1838000000.0,1714000000.0,56415000000.0,,33640000000.0,52000000.0,54613400000.0,1.4999473079700427
リーガルコーポレーション,7938,その他製品,スタンダード（内国株式）,2025-03-31,千葉県,7283724800.0,0.5495532,23558000000.0,404000000.0,-0.039300002,700000000.0,0.021979999,0.038540002,0.485375885444436,,13513000000.0,9329000000.0,14958000000.0,9299000000.0,3771000000.0,3815000000.0,4115500000.0,0.5650268390151149
研創,7939,その他製品,スタンダード（内国株式）,2025-03-31,広島県,2113617280.0,2.5241654,5868794000.0,264055000.0,0.05313,175029000.0,0.05362,0.21935,0.5881300186853567,,2287780000.0,1776650000.0,2665122000.0,1397656000.0,575439000.0,28079000.0,396997300.0,0.18782837543796
ウェーブロックホールディングス,7940,化学,スタンダード（内国株式）,2025-03-31,東京都,9202487296.0,0.552524,25566685000.0,405543000.0,0.00199,520797000.0,0.017549999,0.02782,0.5693700180615078,,12484032000.0,6700863000.0,17768462000.0,5435884000.0,3221936000.0,1068366000.0,6032286200.0,0.6555060611300191
ＪＳＰ,7942,化学,プライム（内国株式）,2025-03-31,東京都,50789543936.0,0.5051981,142250000000.0,6889000000.0,0.05073,5066000000.0,0.0379,0.050430004,0.6563312025776946,7.6965847,48083000000.0,33993000000.0,78694000000.0,24105000000.0,17421000000.0,1728000000.0,31820600000.0,0.626518718894133
ニチハ,7943,ガラス・土石製品,プライム（内国株式）,2025-03-31,愛知県,89777364992.0,0.7375953,148478000000.0,6956000000.0,0.03341,2706000000.0,0.01184,0.01285,0.7026401059423516,10.062167,53298000000.0,34813000000.0,86002000000.0,16182000000.0,26481000000.0,10210000000.0,39851000000.0,0.4438869419207291
ローランド,7944,その他製品,プライム（内国株式）,2024-12-31,静岡県,86269583360.0,2.1701403,99433000000.0,9952000000.0,0.102390006,5976000000.0,0.06288,0.14415,0.5689579094452479,10.020806,34905000000.0,21085000000.0,57993000000.0,20442000000.0,14478000000.0,724000000.0,23594800000.0,0.2735007992508751
光陽社,7946,その他製品,スタンダード（内国株式）,2025-03-31,東京都,1102966272.0,0.6238335,4726835000.0,60476000.0,-0.00849,60694000.0,0.011460001,0.02928,0.5622224757372022,,1392977000.0,724166000.0,2089839000.0,433510000.0,1005863000.0,113349000.0,776206300.0,0.7037443661740547
エフピコ,7947,化学,プライム（内国株式）,2025-03-31,広島県,207368060928.0,1.3183136,235628000000.0,18471000000.0,0.087060004,12486000000.0,0.06068,0.09516,0.5250319957840849,15.271904,138113000000.0,84372000000.0,98847000000.0,80513000000.0,19020000000.0,10274000000.0,-32074200000.0,-0.1546728066823002
小松ウオール工業,7949,その他製品,プライム（内国株式）,2025-03-31,石川県,44371779584.0,1.1653476,44616000000.0,3636000000.0,0.07707,2650000000.0,0.05984,0.07165,0.8081529643254342,,8970000000.0,6373000000.0,31322000000.0,189000000.0,16714000000.0,475000000.0,22684500000.0,0.511237101884906
ヤマハ,7951,その他製品,プライム（内国株式）,2025-03-31,静岡県,471521198080.0,1.0248971,462080000000.0,20695000000.0,0.070089996,13351000000.0,0.03963,0.03798,0.7590913242163585,13.632193,141166000000.0,106658000000.0,351933000000.0,19957000000.0,99819000000.0,54037000000.0,248592900000.0,0.5272146851769384
河合楽器製作所,7952,その他製品,プライム（内国株式）,2025-03-31,静岡県,22186500096.0,0.52281034,72918000000.0,317000000.0,-0.028099999,405000000.0,0.0070999996,0.01219,0.6019651038639835,5.279312,29451000000.0,17475000000.0,48518000000.0,8446000000.0,13300000000.0,7232000000.0,24129400000.0,1.0875712661119672
菊水化学工業,7953,その他製品,スタンダード（内国株式）,2025-03-31,愛知県,4839998464.0,0.50850564,21390614000.0,264907000.0,0.01844,165822000.0,0.0057599996,0.01386,0.5873068684325086,,6538900000.0,4961091000.0,10348348000.0,1831584000.0,4062634000.0,1750100000.0,5034518000.0,1.0401899995313717
クリナップ,7955,その他製品,プライム（内国株式）,2025-03-31,東京都,28094672896.0,0.4924128,129987000000.0,2071000000.0,0.017970001,1719000000.0,0.0152900005,0.03514,0.6309996131955573,,33389000000.0,27812000000.0,55467000000.0,7181000000.0,18767000000.0,4811000000.0,25445700000.0,0.9057126272369896
ピジョン,7956,その他製品,プライム（内国株式）,2024-12-31,東京都,191468158976.0,2.4742641,104171000000.0,12139000000.0,0.12485,8371000000.0,0.091850005,0.12903,0.7491875023082321,22.362722,23701000000.0,17383000000.0,73462000000.0,1769000000.0,39201000000.0,553000000.0,50148100000.0,0.2619135226880513
フジコピアン,7957,その他製品,スタンダード（内国株式）,2024-12-31,大阪府,2234795776.0,0.21720244,8984085000.0,-15587000.0,-0.012940001,397757000.0,0.04678,0.04079,0.6425956838141175,,5876663000.0,3229374000.0,8180107000.0,2523312000.0,2857775000.0,1265449000.0,3189258300.0,1.4270916091081782
キングジム,7962,その他製品,プライム（内国株式）,2025-06-30,東京都,23204096000.0,0.96567017,39639500000.0,537715000.0,-0.025940001,424944000.0,0.0088,0.01441,0.6772779797419926,,11460881000.0,8210456000.0,24063443000.0,6278288000.0,6831528000.0,2977800000.0,14687022000.0,0.6329495447700269
興研,7963,その他製品,スタンダード（内国株式）,2024-12-31,,9234375680.0,0.7041078,10762379000.0,1009770000.0,0.03363,722061000.0,0.07026,0.06073,0.6247269767135146,,7830579000.0,4127620000.0,10017998000.0,5184585000.0,2531339000.0,956504000.0,2856971800.0,0.3093844022598829
象印マホービン,7965,電気機器,プライム（内国株式）,2024-11-30,大阪府,107180277760.0,1.260809,87221000000.0,5955000000.0,0.03822,6462000000.0,0.0642,0.06821,0.7533741689829135,22.597055,27466000000.0,21331000000.0,84644000000.0,3192000000.0,33726000000.0,9272000000.0,63668400000.0,0.594030929296222
